Date;Año;Mes;ARG;BRA;ESP;FRA;GER;ITA;;;;;ARG;BRA;ESP;FRA;GER;ITA;;;ARG;BRA;ESP;FRA;GER;ITA;;ARG;BRA;ESP;FRA;GER;ITA
23-10-2014;2014;10;2;6;10;7;1;11;;;;;;;;;;;;;;;;;;;;;;;;;
27-11-2014;2014;11;2;6;9;7;1;11;;;;;;;;;;;;;;;;;;;;;;;;;
18-12-2014;2014;12;2;6;9;7;1;11;;;;;;;;;;;;;;;;;;;;;;;;;
08-01-2015;2015;1;2;6;9;7;1;11;;;;;;;;;;;;;;;;;;;;;;;;;
12-02-2015;2015;2;2;6;10;8;1;12;;;;;;;;;;;;;;;;;;;;;;;;;
12-03-2015;2015;3;2;6;11;8;1;10;;;;;;;;;;;;;;;;;;;;;;;;;
09-04-2015;2015;4;2;5;10;11;1;13;;;;;;;;;;;;;;;;;;;;;;;;;
07-05-2015;2015;5;2;5;10;11;1;13;;;;;;;;;;;;;;;;;;;;;;;;;
04-06-2015;2015;6;3;5;10;9;1;13;;;;;;;;;;;;;;;;;;;;;;;;;
09-07-2015;2015;7;1;6;12;22;2;17;;;;;;;;;;;;;;;;;;;;;;;;;
06-08-2015;2015;8;1;5;11;23;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
03-09-2015;2015;9;1;5;11;24;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
01-10-2015;2015;10;1;7;6;22;2;17;;;;;;;;;;;;;;;;;;;;;;;;;
05-11-2015;2015;11;3;8;6;24;2;13;;;;;;;;;;;;;;;;;;;;;;;;;
03-12-2015;2015;12;2;6;3;25;4;15;;;;;;;;;;;;;;;;;;;;;;;;;
07-01-2016;2016;1;2;6;3;25;4;15;;;;;;;;;;;;;;;;;;;;;;;;;
04-02-2016;2016;2;2;6;3;24;4;15;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2016;2016;3;2;6;3;24;4;14;;;;;;;;;;;;;;;;;;;;;;;;;
07-04-2016;2016;4;1;7;6;21;5;15;;;;;;;;;;;;;;;;;;;;;;;;;
05-05-2016;2016;5;1;7;6;21;5;15;;;;;;;;;;;;;;;;;;;;;;;;;
02-06-2016;2016;6;1;7;6;17;4;12;;;;;;;;;;;;;;;;;;;;;;;;;
14-07-2016;2016;7;1;9;8;7;4;10;;;;;;;;;;;;;;;;;;;;;;;;;
11-08-2016;2016;8;1;9;8;7;4;10;;;;;;;;;;;;;;;;;;;;;;;;;
15-09-2016;2016;9;1;4;11;8;3;13;;;;;;;;;;;;;;;;;;;;;;;;;
20-10-2016;2016;10;1;3;10;7;2;13;;;;;;;;;;;;;;;;;;;;;;;;;
24-11-2016;2016;11;1;2;10;7;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
22-12-2016;2016;12;1;2;10;7;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
12-01-2017;2017;1;1;2;10;7;3;16;;;;;;;;;;;;;;;;;;;;;;;;;
09-02-2017;2017;2;1;2;10;6;3;15;;;;;;;;;;;;;;;;;;;;;;;;;
09-03-2017;2017;3;1;2;10;6;3;15;;;;;;;;;;;;;;;;;;;;;;;;;
06-04-2017;2017;4;2;1;10;6;3;12;;;;;;;;;;;;;;;;;;;;;;;;;
04-05-2017;2017;5;2;1;10;6;3;12;;;;;;;;;;;;;;;;;;;;;;;;;
01-06-2017;2017;6;2;1;10;6;3;12;;;;;;;;;;;;;;;;;;;;;;;;;
06-07-2017;2017;7;3;2;11;9;1;12;;;;;;;;;;;;;;;;;;;;;;;;;
10-08-2017;2017;8;3;1;11;10;2;12;;;;;;;;;;;;;;;;;;;;;;;;;
14-09-2017;2017;9;4;2;11;8;1;17;;;;;;;;;;;;;;;;;;;;;;;;;
16-10-2017;2017;10;4;2;8;7;1;15;;;;;;;;;;;;;;;;;;;;;;;;;
23-11-2017;2017;11;4;2;6;9;1;14;;;;;;;;;;;;;;;;;;;;;;;;;
21-12-2017;2017;12;4;2;6;9;1;14;;;;;;;;;;;;;;;;;;;;;;;;;
18-01-2018;2018;1;4;2;6;9;1;14;;;;;;;;;;;;;;;;;;;;;;;;;
15-02-2018;2018;2;4;2;6;9;1;14;;;;;;;;;;;;;;;;;;;;;;;;;
15-03-2018;2018;3;4;2;6;9;1;14;;;;;;;;;;;;;;;;;;;;;;;;;
12-04-2018;2018;4;5;2;8;7;1;20;;;;;;;;;;;;;;;;;;;;;;;;;
17-05-2018;2018;5;5;2;8;7;1;20;;;;;;;;;;;;;;;;;;;;;;;;;
07-06-2018;2018;6;5;2;10;7;1;19;;;;;;;;;;;;;;;;;;;;;;;;;
